name,number,@name,followers,er,country,domain,potential_reach
Achraf Hakimi,1,"Achraf Hakimi
 @achrafhakimi",20.4M,2.92%,Morocco,"Sports,  , Soccer,  , Journalists",6.1M
saadlamjarred,2,"saadlamjarred
 @saadlamjarred1",15.2M,0.5%,Morocco,"Entertainment and Music,  , Music,  , Lifestyle,  , Singer",4.6M
  asma lmnawar,3,"أسما لمنور asma lmnawar
 @asmalmnawar",13.3M,0.54%,Morocco,"Entertainment and Music,  , Music,  , Singer",4M
Salma Rachid,4,"Salma Rachid
 @salmarachid.official",10.8M,0.42%,Morocco,"Entertainment and Music,  , Music",3.2M
Rajaa Belmir,5,"Rajaa Belmir
 @rajaabelmir",10.5M,1.24%,Morocco,"Entertainment and Music,  , Music,  , Humor,  , Celebrities",3.1M
Dunia Batma  ,6,"Dunia Batma 🇲🇦 🎤
 @dunia_batma",10.1M,1.37%,Morocco,"Art,  , Singer",3M
Zouhair Bahaoui,7,"Zouhair Bahaoui
 @zouhairbahaoui",9.6M,0.31%,Morocco,"Entertainment and Music,  , Singer,  , Music",2.9M
KAWTAR BA-MOHAMED  ,8,"KAWTAR BA-MOHAMED كوثر بامو
 @kawtarbamo",8.6M,4.21%,Morocco,Beauty,2.6M
Ibtissam Tiskat,9,"Ibtissam Tiskat
 @ibtissamtiskatofficial",7.8M,0.28%,Morocco,"Entertainment and Music,  , Singer",2.3M
Rachid Allali,10,"Rachid Allali
 @allalirachid",7.7M,0.11%,Morocco,"Entertainment and Music,  , Entertainment",2.3M
Safae Hbirkou,11,"Safae Hbirkou
 @hbirkousafae_officiel",7M,1.23%,Morocco,family,2.1M
Yassine Bounou BONO,12,"Yassine Bounou “BONO”
 @bounouyassine_bono",6.6M,3.54%,Morocco,Soccer,2M
Leila Hadioui,13,"Leila Hadioui
 @leilahadioui",6.6M,0.19%,Morocco,"Art,  , Fashion,  , Celebrity,  , Modeling",2M
Meryem Asouab,14,"Meryem Asouab
 @meryemasouab",6.6M,2.69%,Morocco,"Fashion and Accessories,  , Beauty and Self Care,  , Modeling",2M
HATIM AMMOR |  ,15,"HATIM AMMOR | حاتم عمور
 @hatimammor",6.4M,0.12%,Morocco,"Entertainment and Music,  , Music,  , Singer",1.9M
Stars Casablanca -   ,16,"Stars Casablanca - نجوم الدار البيضاء
 @stars_casablanca",6M,0.19%,Morocco,"Entertainment and Music,  , Magazines",1.8M
Bassma Boussil,17,"Bassma Boussil
 @bassmaboussel",5.9M,1.71%,Morocco,"Beauty and Self Care,  , Business and Finance,  , Celebrities,  , Hair & Beauty",1.8M
   ,18,"𝐅𝐀𝐓𝐈 𝐉𝐀𝐌𝐀𝐋𝐈 فاتي جمالي
 @fatijamaliofficiel",5.8M,0.24%,Morocco,"Entertainment and Music,  , Celebrity,  , Music,  , Modeling",1.7M
Karima Gouit Official,19,"Karima Gouit Official
 @karimagouit",5.7M,0.56%,Morocco,"Entertainment and Music,  , Celebrity,  , Music,  , Modeling",1.7M
Farah El Fassi |  ,20,"Farah El Fassi | فرح الفاسي
 @farahelfassi1",5.2M,0.56%,Morocco,"Entertainment and Music,  , Singer,  , Music",1.6M
Adil Taouil -  ,21,"Adil Taouil - عادل تاويل
 @adiltaouil",5M,3.63%,Morocco,"Entertainment and Music,  , Upskilling,  , Modeling",1.5M
AMINUX,22,"AMINUX
 @aminuxamine",4.8M,0.25%,Morocco,"Entertainment and Music,  , Music,  , Band",1.4M
Safaa Hanaa |  ,23,"Safaa Hanaa | صفاء هناء
 @safaahanaa",4.4M,0.47%,Morocco,"Arts and Crafts,  , Singer",1.3M
Nouaman Belaiachi,24,"Nouaman Belaiachi
 @nouamanbelaiachi",4.3M,0.36%,Morocco,"Entertainment and Music,  , Music,  , Modeling,  , Actors",1.3M
Medhi Benatia,25,"Medhi Benatia
 @m.benatia5",4.3M,2.29%,Morocco,"Fitness,  , Lifestyle",1.3M
Ihssane Benalluch   ,26,"Ihssane Benalluch احسان بنعلوش 🇲🇦
 @ihssanebenalluch",4.3M,5.2%,Morocco,"Life and Society,  , Education,  , Lifestyle,  , Celebrities",1.3M
ZOUBER,27,"ZOUBER
 @ezzoubairhilal",4.2M,8.23%,Morocco,"Entertainment and Music,  , Animation and Cosplay,  , Celebrity,  , Coaching",1.3M
Hicham Masrar,28,"Hicham Masrar
 @hichammasrar1",4.1M,0.19%,Morocco,"Fitness and Health,  , Modeling,  , Actors",1.2M
M2THAK,29,"M2THAK
 @m2thakshow",3.9M,1.22%,Morocco,Music,1.2M
Nouhaila Barbie l  ,30,"Nouhaila Barbie l نهيلة باربي
 @nouhaila_barbie",3.9M,0.47%,Morocco,"Fashion and Accessories,  , Beauty and Self Care",1.2M
Iman Elbani Yildirim,31,"Iman Elbani Yildirim
 @iman_elbani",3.6M,1.04%,Morocco,"Fashion and Accessories,  , Celebrity,  , Modeling",1.1M
Jihane Kidari -  ,32,"Jihane Kidari - جيهان كيداري
 @jihane_kidari",3.5M,2.47%,Morocco,"Celebrity,  , Modeling",1.1M
Samira Said,33,"Samira Said
 @samirasaid",3.3M,0.3%,Morocco,"Entertainment and Music,  , Modeling,  , Singer",1M
Sofiane Boufal,34,"Sofiane Boufal
 @sofianeboufal_19",3.3M,15.96%,Morocco,,989.4K
Nora Skali Bellahcen,35,"Nora Skali Bellahcen
 @noraskaliofficial",3.3M,0.37%,Morocco,Acting and Drama,978K
Ihab Amir,36,"Ihab Amir
 @ihabamirofficiell",3.2M,0.25%,Morocco,"Art,  , Singer,  , Music,  , Songwriting",973.4K
Momo Bousfiha,37,"Momo Bousfiha
 @momoofficiel",3.2M,0.37%,Morocco,"Entertainment and Music,  , Funny,  , Celebrity,  , Moms",967K
Houda Saad,38,"Houda Saad
 @houdasaadofficiel",3.2M,0.09%,Morocco,"Entertainment and Music,  , Singer,  , Music,  , Songwriting",949.4K
Zakaria Aboukhlal,39,"Zakaria Aboukhlal
 @zakariaaboukhlal",3.1M,4.88%,Morocco,Sports,942.8K
Jaouad Qennana l  ,40,"Jaouad Qennana l جواد قنانة
 @jawadbingo",3.1M,0.42%,Morocco,Beauty and Self Care,940.6K
Fatima Zahra Qanboua,41,"Fatima Zahra Qanboua
 @fatimazahraqanboua_",3.1M,0.58%,Morocco,Celebrity,933.2K
LBNJ,42,"LB€NJ
 @lbenjofficial",3.1M,2.74%,Morocco,"Entertainment and Music,  , Music,  , Modeling",915.9K
L7OR  ,43,"L7OR 🕊 الحر
 @l7or75",3M,1.02%,Morocco,"Entertainment and Music,  , Modeling,  , Singer,  , Music",908.7K
Taliss  ,44,"Taliss 🇲🇦 طاليس
 @taliss1",3M,0.52%,Morocco,"Entertainment and Music,  , Animation and Cosplay,  , Arts and Crafts,  , Humor",889.1K
Raja Club Athletic,45,"Raja Club Athletic
 @rcaofficiel",2.9M,2.09%,Morocco,"Sports,  , Personal Finance,  , Soccer,  , Training",868K
Larhrib Younes,46,"Larhrib Younes
 @larhrib_younes",2.8M,0.31%,Morocco,,834.7K
Chorouk #MissArabWorld,47,"Chorouk #MissArabWorld👑❤👄
 @choroukchelouatiofficiel",2.7M,0.98%,Morocco,"Entertainment and Music,  , Beauty and Self Care,  , Modeling",811.4K
ZinaDaoudia,48,"ZinaDaoudia
 @zinadaoudia",2.6M,0.76%,Morocco,"Singer,  , Music",777.5K
Asmae Amrani,49,"Asmae Amrani
 @asmaeamraniofficiel",2.6M,1.5%,Morocco,"Beauty and Self Care,  , Life and Society,  , Lifestyle",776.6K
Narjiss El Hallak  ,50,"Narjiss El Hallak نرجس الحلاق
 @narjiss.el_hallak",2.5M,2.08%,Morocco,"family,  , Marketing and Advertising",756.2K
B O U C H R A D D E A U ,51,"B O U C H R A D D E A U ⚡️🇲🇦
 @bouchra_ddeau",2.5M,0.07%,Morocco,Entertainment and Music,752.1K
JAMILA EL BADAOUI,52,"JAMILA EL BADAOUI🇲🇦
 @jamila_elbadaoui",2.4M,0.85%,Morocco,"Beauty and Self Care,  , Singer",732.4K
Rabie Skalli |  ,53,"Rabie Skalli | ربيع الصقلي
 @rabii.skalli",2.4M,2.71%,Morocco,"Entertainment and Music,  , Acting and Drama,  , Celebrity",723.1K
Btissam Batma |  ,54,"Btissam Batma | ابتسام بطمة
 @btissambatmaofficial",2.3M,0.61%,Morocco,Fashion and Accessories,701.7K
 ,55,"📍زهراء الساهر🇲🇦🀄️
 @zahrae_al_saher",2.2M,1.74%,Morocco,"Entertainment and Music,  , Fashion and Accessories,  , Music",665.2K
YouYou,56,"YouYou🦁
 @ennesyri15",2.2M,10.28%,Morocco,Soccer,648.1K
  | Marwa Rioui,57,"مروى الريوي | Marwa Rioui
 @marwarioui",2.1M,1.93%,Morocco,"Fitness and Health,  , Food,  , Travel",644.9K
Zakaria Ghafouli,58,"Zakaria Ghafouli
 @zakariaghafouli",2.1M,0.03%,Morocco,"Entertainment and Music,  , Music",637K
Fatine Badi,59,"Fatine Badi
 @cooking_by_fatine",2.1M,3.15%,Morocco,"Food,  , Food and Drink",628.4K
Idar Hatim,60,"Idar Hatim
 @hatimidarofficial",2.1M,0.08%,Morocco,"Celebrity,  , Actors,  , Music,  , Singer",626.3K
Hind Elmekaoui -  ,61,"Hind Elmekaoui - هند المكاوي
 @hindelmekaoui",2.1M,4.69%,Morocco,"Beauty and Self Care,  , Romance and Wedding,  , Events",626.1K
Miryam Labiad ,62,"Miryam Labiad 🇲🇦
 @mimialeblanc",2.1M,1.37%,Morocco,"Fashion and Accessories,  , Arts and Crafts,  , Parenting,  , Lifestyle",618.5K
Badr Soultan,63,"Badr Soultan
 @badrsoultan",2M,0.64%,Morocco,"Entertainment and Music,  , Celebrity,  , Soccer,  , Lifestyle",612.6K
Ghita Asfour,64,"Ghita Asfour
 @ghita_asfour",2M,1.64%,Morocco,Beauty and Self Care,611K
Amal Amal,65,"Amal Amal
 @essaqramal",2M,0.25%,Morocco,"Acting and Drama,  , Celebrity,  , Singer,  , Music",610K
Abubakr Abu Azaitar,66,"Abubakr Abu Azaitar
 @abuazaitar",2M,0.82%,Morocco,Sports,607.4K
Sofia Charaf |  ,67,"Sofia Charaf | صوفيا شرف
 @sofiacharafofficiel",2M,2.4%,Morocco,"Acting and Drama,  , Lifestyle",602.9K
  ,68,"الـــمـــغــرب بـــلادي 🇲🇦
 @morocco_beladi",1.9M,0.23%,Morocco,,580.1K
SONBOLA,69,"SONBOLA
 @fatima_zahra_el_ibrahimi",1.9M,0.47%,Morocco,"Acting and Drama,  , Entertainment and Music,  , Celebrity,  , Modeling",578.2K
rajoua es_sahely,70,"rajoua es_sahely
 @rajoua.officiel",1.9M,0.79%,Morocco,"Entertainment and Music,  , family,  , Arts and Crafts,  , Fashion and Accessories",564.9K
Bilal El Khannouss,71,"Bilal El Khannouss
 @bilalekns_34",1.9M,14.78%,Morocco,Sports,559.4K
JAYLANN ,72,"JAYLANN ✨
 @jaylann_official",1.9M,0.65%,Morocco,Art,556.7K
AMINE RADI,73,"AMINE RADI
 @radi_amine",1.9M,2.25%,Morocco,"Entertainment and Music,  , Celebrity,  , Lifestyle,  , Celebrities",556K
AHLAM ZAIMI  ,74,"AHLAM ZAIMI احلام الزعيمي
 @ahlamzaimiofficiel",1.8M,0.32%,Morocco,"Fashion and Accessories,  , Travel,  , family,  , Beauty and Self Care",549.5K
Ikram El Abdia |  ,75,"Ikram El Abdia | إكرام العبدية
 @ikramelabdia",1.8M,0.65%,Morocco,"Entertainment and Music,  , Music",548.6K
Med Bassou,76,"Med Bassou
 @bassou_mohammed",1.8M,0.37%,Morocco,"Entertainment and Music,  , Celebrity,  , Actors,  , Modeling",547.8K
mariees marocaines,77,"mariees marocaines
 @mariees_marocaines1",1.8M,0.84%,Morocco,Romance and Wedding,542.8K
,78,@maghrebia_hora,1.8M,0.74%,Morocco,"Fashion and Accessories,  , Marketing and Advertising",530.7K
Rabab Azmani,79,"Rabab Azmani
 @rababazmani",1.7M,0.54%,Morocco,"Entertainment and Music,  , Fashion and Accessories,  , Moms,  , Modeling",520.3K
Samia Akariou,80,"Samia Akariou
 @samia_akariou",1.7M,0.32%,Morocco,"Acting and Drama,  , Lifestyle,  , Modeling",519.7K
manal lemzamzam -  ,81,"manal lemzamzam - منال لمزمزم
 @manwela.cherkaoui",1.7M,0.99%,Morocco,"Fashion and Accessories,  , Beauty and Self Care,  , DIY and Life Hacks,  , Lifestyle",519.4K
Stars Moroccan |  ,82,"🇲🇦✨Stars Moroccan | ستارز موروكان✨🇲🇦
 @stars_moroccan",1.7M,0.25%,Morocco,,514.6K
fatima zahra laaroussi,83,"fatima zahra laaroussi
 @fatimazahralaaroussi",1.7M,0.22%,Morocco,Entertainment and Music,506.9K
Raja Meziane,84,"Raja Meziane
 @raja_meziane",1.7M,1.26%,Morocco,"Education,  , Music,  , Actors,  , Singer",505.1K
Sofia Saidi,85,"Sofia Saidi
 @sofiasaidiofficiel",1.6M,1.58%,Morocco,,493.5K
ILY  ,86,"ILY إيلي 🇲🇦
 @iam.ily",1.6M,1.89%,Morocco,Romance and Wedding,490K
  |  ,87,"𝐡𝐢𝐛𝐚 𝐳𝐚𝐢𝐦 | هبة زعيم
 @hiba.zaim1",1.6M,4.08%,Morocco,Fashion and Accessories,485.7K
Nordin Amrabat,88,"Nordin Amrabat
 @n_amrabat_official",1.6M,4.9%,Morocco,Soccer,485.3K
Maryem Bakouche  ,89,"Maryem Bakouche مريم باكوش
 @maryembakouche1",1.6M,0.99%,Morocco,"Acting and Drama,  , Celebrity,  , Modeling",482.7K
Hind ziadi -  ,90,"Hind ziadi - هند زيادي
 @hindziadi",1.6M,6.72%,Morocco,"Entertainment and Music,  , Music",469.9K
  MARINE EL HIMER,91,"🇫🇷 🇲🇦🇪🇬 MARINE EL HIMER
 @marinelhimer",1.5M,1.91%,Morocco,"Fashion and Accessories,  , Lifestyle,  , Modeling",457.3K
Ahmed Chawki,92,"Ahmed Chawki
 @chawki_official",1.5M,0.38%,Morocco,Art,456.3K
Hazeb Taoufik ,93,"Hazeb Taoufik 🇲🇦
 @donbiggofficial",1.5M,1.5%,Morocco,"Entertainment and Music,  , Music,  , Producers,  , Singer",453.4K
Hassan El Fad,94,"Hassan El Fad
 @elfadhassan",1.5M,0.82%,Morocco,,443.2K
Soukayna naciri ,95,"Soukayna naciri🍃سكينـة الناصري
 @soukayna_naciri_official",1.5M,0.3%,Morocco,Beauty,438.5K
 soukaina,96,"سكينة soukaina
 @souky_s_life",1.4M,4.58%,Morocco,"Beauty and Self Care,  , Fashion and Accessories,  , Business",430.3K
 .   Mido Belahbib  .,97,"♪ . ♬ ▪ Mido Belahbib ▪♬ .♪
 @mido.belahbib",1.4M,1.55%,Morocco,Entertainment and Music,416.7K
  | soumaya aomari,98,"سمية العماري | soumaya aomari
 @soma_officiel",1.4M,0.54%,Morocco,"Fashion,  , Beauty,  , Soccer",416.1K
 ,99,"𝕄𝕦𝕟𝕚𝕣 𝕄𝕠𝕙𝕒𝕞𝕖𝕕𝕚
 @muny1",1.4M,5.68%,Morocco,"Sports,  , Soccer",411.1K
Le roi Mohamed 6 ,100,"Le roi Mohamed 6 ️️️
 @le_roi_mohamed6",1.4M,0.9%,Morocco,"Singer,  , Music",410.1K
FASHION BELADI |  ,101,"FASHION BELADI | فاشن بلادي
 @fashion_beladi",1.4M,0.2%,Morocco,Fashion and Accessories,409.5K
Hind EL Boukfaoui_officiel,102,"Hind EL Boukfaoui_officiel
 @hind_el_boukfaoui",1.4M,0.97%,Morocco,Fashion and Accessories,407K
 ,103,"🦋رقية ماغى
 @rikia_magha",1.4M,1.35%,Morocco,"Art,  , Music",405.4K
Oualid Azaro,104,"Oualid Azaro
 @walidazaro_official_21",1.3M,2.11%,Morocco,Sports,404.4K
SOUFIANE ELBAHRI,105,"SOUFIANE ELBAHRI
 @soufiane_elbahri",1.3M,2.26%,Morocco,,394.3K
MUSTAFA HFNAWY,106,"MUSTAFA HFNAWY
 @mustafa_hfnawy",1.3M,7.26%,Morocco,"Entertainment and Music,  , Acting and Drama,  , Celebrity,  , Modeling",393.1K
Jhad BenAllouch   ,107,"Jıhad BenAllouch جهاد بن علوش
 @jihadebenalluch",1.3M,1.2%,Morocco,"Travel,  , Fashion and Accessories",391.3K
  ,108,"مجلة لالة العروسة
 @lalla_laarossaa",1.3M,0.04%,Morocco,Fashion and Accessories,390.6K
Sabah Benchouikh| ,109,"Sabah Benchouikh|صباح بنشويخ
 @sabah_benchouikh",1.3M,3.86%,Morocco,Travel,390.5K
     ,110,"عويشة الدريويشة 😇 صفحة منوعة 📺
 @lalla_3wicha_dwiiba",1.3M,0.35%,Morocco,"Entertainment and Music,  , Parenting",387.5K
Achraf Dari,111,"Achraf Dari
 @dari_achraf",1.3M,8.75%,Morocco,,387.2K
Nabil Dirar,112,"Nabil Dirar
 @dirar_nabil",1.2M,5.55%,Morocco,"Sports,  , Soccer,  , Lifestyle",375K
,113,"سارة
 @sa1sara_",1.2M,0.4%,Morocco,,367.4K
Zaynab | ,114,"Zaynab | زَينب
 @zinaboussama01",1.2M,1.39%,Morocco,"Entertainment and Music,  , Music",367K
Fadwa Fakhari |  ,115,"Fadwa Fakhari | فدوة فخاري
 @fadwa.fakhari",1.2M,4.68%,Morocco,"Beauty and Self Care,  , Lifestyle",364.4K
Sanaa kadioui |  ,116,"Sanaa kadioui | سناء قديوي
 @chicshop_by_sanae",1.2M,1.17%,Morocco,"Fashion and Accessories,  , Lifestyle",363.6K
Maya Dbaich,117,"Maya Dbaich
 @maya_dbaich_officiel",1.2M,0.75%,Morocco,"Arts and Crafts,  , Entertainment and Music,  , Dance,  , Choreographer",362.7K
ZAFI-MOHSINE,118,"ZAFI-MOHSINE
 @mohsinezafi",1.2M,0.57%,Morocco,Fashion,360.7K
Abdelillah Habbat Idrissi,119,"Abdelillah Habbat Idrissi
 @habbatabdelillah",1.2M,8.12%,Morocco,"Education,  , Upskilling,  , Coaching,  , Modeling",360.5K
Neggafa Najwa Senhaji,120,"Neggafa Najwa Senhaji
 @signature_by_najwa",1.2M,0.1%,Morocco,"Romance and Wedding,  , Beauty and Self Care",360.1K
Othman Quadry,121,"🌬Othman Quadry
 @othman.quadry",1.2M,5.4%,Morocco,"Fashion and Accessories,  , Travel,  , Lifestyle",354.2K
Zineb Obeid Officiel,122,"Zineb Obeid Officiel
 @obeid.zineb",1.2M,3.26%,Morocco,"Art,  , Lifestyle",353.7K
Badr Benoun,123,"Badr Benoun
 @badrbenoun13",1.2M,11.8%,Morocco,Sports,352.8K
IMAN CASABLANCA,124,"İMAN CASABLANCA
 @imancasablanca",1.2M,1.79%,Morocco,"Education,  , Life and Society,  , Modeling",349.8K
Jessica ERRERO,125,"Jessica ERRERO
 @jessicaerrero_official",1.2M,1.03%,Morocco,"Entertainment and Music,  , Fashion and Accessories,  , Celebrity,  , Actors",346.1K
Wydad Athletic Club ,126,"Wydad Athletic Club 🏆🇲🇦
 @wacofficiel",1.1M,4.79%,Morocco,Sports,342.6K
Souhail Eddahbi,127,"Souhail Eddahbi
 @souhail.eddahbi",1.1M,-,Morocco,,341K
Youssef Aoutoul,128,"Youssef Aoutoul
 @youssefaoutoul",1.1M,0.99%,Morocco,"Entertainment and Music,  , Singer,  , Music,  , Songwriting",340.4K
IMANE ADINAR ||   ||  ,129,"IMANE ADINAR || إيمان أدينار || ⵦⵢⵎⴰⵏ ⵧⴷⵢⵏⴰⵔ
 @imane_adinar",1.1M,0.95%,Morocco,"Food,  , Fashion and Accessories,  , Entertainment and Music",339.2K
Fadwa Taleb |  ,130,"Fadwa Taleb | فدوى طالب
 @fadoua.taleb",1.1M,0.68%,Morocco,"Acting and Drama,  , Celebrity,  , Lifestyle",335.2K
SALWA ANLOUF   ,131,"SALWA ANLOUF ✨ سلوى أنلوف
 @salwaanlouff",1.1M,3.38%,Morocco,"Fashion and Accessories,  , Lifestyle",332.9K
Hind Sdassi.  ,132,"Hind Sdassi. هند سداسي
 @hindsdassiofficiel",1.1M,0.18%,Morocco,"Entertainment and Music,  , Music,  , Lifestyle",332.6K
Mehdi Bennani |  ,133,"Mehdi Bennani | مهدي بناني
 @mehdibennani_25",1.1M,0.18%,Morocco,"Sports,  , Personal Finance",330.1K
  Mohamed ADLY,134,"محمد عدلي Mohamed ADLY
 @mohamedadliofficial",1.1M,0.57%,Morocco,"Entertainment and Music,  , Music",330K
Amina Dehbi -  ,135,"Amina Dehbi - أمينة الذهبي
 @amina.dehbi",1.1M,6.73%,Morocco,"Education,  , Video Blogger",325.1K
AHMED ZANDANI,136,"AHMED ZANDANI
 @hhj",1.1M,2.36%,Morocco,"Life and Society,  , Celebrity",320.1K
Rajoui Najat  ,137,"Rajoui Najat نجاة رجوي
 @najatrajouiofficial",1.1M,0.12%,Morocco,,319.5K
Stars Beladi |  ,138,"Stars Beladi | ستـارز بـلادي
 @stars_beladi",1.1M,0.19%,Morocco,Arts and Crafts,318.4K
SIMO LIFE  ,139,"SIMO LIFE سيمو لايف
 @simolifedotcom",1.1M,5.64%,Morocco,"Finance,  , Education,  , Upskilling,  , Business",316.2K
  |  ,140,"𝙈𝘼𝙍𝙔𝘼𝙈 𝙀𝙇𝙂𝘼𝙍𝘼𝘼 | مريم الگْرع
 @maryam_elgaraa1",1.1M,4.14%,Morocco,,315.4K
Mounia Ramsis,141,"Mounia Ramsis
 @mounia_ramsis",1M,0.2%,Morocco,"Romance and Wedding,  , Events,  , Portraits",313K
Elhadi Elbouchaibi,142,"Elhadi Elbouchaibi
 @chefelhadi",1M,0.19%,Morocco,"Food,  , Food and Drink",310.7K
Giselle Lisboa,143,"Giselle Lisboa
 @gisellelisboa",1M,2.43%,Morocco,"Product Showcase,  , Entertainment and Music",310K
Rajaa Kassabni,144,"Rajaa Kassabni
 @raja_kessabny",1M,0.05%,Morocco,,306.5K
Chef Simo,145,"Chef Simo
 @chef_simo_maroc",1M,-,Morocco,"Food,  , Product Showcase",306.2K
Nada Haddaoui   ,146,"Nada Haddaoui ♑️ ندى هداوي
 @nada.haddaoui",1M,2.52%,Morocco,"Acting and Drama,  , Entertainment and Music,  , Celebrity,  , Music",305.7K
Amine Raghib,147,"Amine Raghib
 @raghib.official",1M,0.9%,Morocco,"Education,  , Upskilling",305.3K
fatima Maazi  ,148,"fatima Maazi أم مهاب
 @fatima_maazi_officiel",1M,0.12%,Morocco,"Beauty and Self Care,  , Fashion and Accessories",304.5K
Mohammed Benyazou,149,"Mohammed Benyazou
 @bh6",1M,1%,Morocco,,300.3K
7-TOUN,150,"7-TOUN
 @7.toun.officiel",990.3K,3.49%,Morocco,"Beauty,  , Music,  , Entertainment,  , Singer",297.1K
Kamar Saadaoui |  ,151,"Kamar Saadaoui | قمر سعداوي
 @hamaka_officiel",988.3K,1.83%,Morocco,"Acting and Drama,  , Funny,  , Celebrity,  , Lifestyle",296.5K
ILYASSE MAHOUT,152,"ILYASSE MAHOUT
 @syb_lus",968.6K,2.74%,Morocco,Sports,290.6K
Idriss El Hayani Taib,153,"Idriss El Hayani Taib
 @taib.haute.couture",965.7K,0.45%,Morocco,Fashion and Accessories,289.7K
Fashion,154,"Fashion
 @hijabmuslim",961.5K,0.19%,Morocco,"News,  , Fashion",288.5K
RABABE GOUYD  ,155,"RABABE GOUYD رباب كويد
 @rababe_gyd",948K,9.36%,Morocco,"Acting and Drama,  , Fashion and Accessories",284.4K
abdljalil.asiro.officiall,156,"abdljalil.asiro.officiall
 @abdljalil.asiro.official",940K,7.56%,Morocco,,282K
Bamohamed Amina,157,"Bamohamed Amina
 @aminabamo",939.9K,4.9%,Morocco,Beauty,282K
  Oumaima Elghachi,158,"أميمة الغاشي Oumaima Elghachi
 @oumaima_elghachi",938.9K,1.8%,Morocco,"Arts and Crafts,  , Home and Garden",281.7K
  ,159,"فاطمة الزهراء بناصر
 @fatimazahrabennacer1",938.6K,1.7%,Morocco,"Arts and Crafts,  , Entertainment and Music",281.6K
Ottman Azaitar,160,"Ottman Azaitar
 @ottmanazaitar",932.5K,0.84%,Morocco,Sports,279.8K
   ,161,"𝕭𝖔𝖚𝖈𝖍𝖗𝖆 𝖍𝖗𝖆𝖎𝖈𝖍 بشرى اهريش
 @bouchra_hraich",930.6K,0.72%,Morocco,"Fashion,  , Gym,  , Modeling",279.2K
Younes Belhanda,162,"Younes Belhanda
 @ynsbelhandaofficial",919.1K,1.54%,Morocco,Sports,275.7K
Abla Sofy ,163,"Abla Sofy 🤍
 @ablasofy",914.7K,0.26%,Morocco,"Entertainment and Music,  , Modeling",274.4K
Monda Mekawy,164,"Monda Mekawy
 @mondamekawy",901.3K,5.09%,Morocco,"Entertainment and Music,  , Modeling",270.4K
  ||   ,165,"𝐁𝐧𝐚𝐭 𝐁𝐥𝐚𝐝𝐢 || بنات بلادي 🇲🇦
 @the_bnat_bladi",901.1K,-,Morocco,,270.3K
 | CHEKORS,166,"شقورز | CHEKORS
 @chekorsfamily",895.3K,19.83%,Morocco,family,268.6K
  ,167,"مغربية حرة 🇲🇦❤️
 @maghribia._.7ora_",886.3K,0.4%,Morocco,,265.9K
Loubinnette,168,"Loubinnette
 @loubinnette.1",885.3K,3.34%,Morocco,Beauty and Self Care,265.6K
Soukaina Elbakkouri,169,"Soukaina Elbakkouri
 @soukaina_elbakkouri",877.1K,1.24%,Morocco,Home and Garden,263.1K
Koi Grand,170,"Koi Grand
 @koigrand",868.4K,1.78%,Morocco,"Fashion and Accessories,  , Parenting,  , Entertainment,  , Music",260.5K
MR CRAZY,171,"MR CRAZY
 @mrcrazy_off",859K,1.99%,Morocco,Entertainment and Music,257.7K
Dounia Boutazzout,172,"Dounia Boutazzout
 @douniaboutazzout",852.8K,0.45%,Morocco,Acting and Drama,255.9K
AbdelilahRachid,173,"AbdelilahRachid
 @abdelilah.rachid",849.5K,0.4%,Morocco,"Arts and Crafts,  , Actors",254.9K
 ,174,"ʟᴏᴜʙɴᴀ ʙᴀɢʜᴅᴀᴅ
 @loubnabaghdad",844.6K,1.76%,Morocco,"Entertainment and Music,  , Beauty and Self Care",253.4K
SAFAA LAHBIL,175,"SAFAA LAHBIL
 @thisissafaa",830.2K,13.94%,Morocco,,249K
Jalal Quarriwa   ,176,"Jalal Quarriwa 🇲🇦 جلال قريوا
 @jalalquarriwa",829.9K,0.12%,Morocco,Art,249K
ALTURK PRODUCTIONS,177,"ALTURK PRODUCTIONS
 @alturkproductions",828.6K,0.38%,Morocco,Entertainment and Music,248.6K
Afrah chiadli,178,"Afrah chiadli
 @afrah_giiordaniiofficiel",826.1K,0.92%,Morocco,"Fashion and Accessories,  , Beauty and Self Care",247.8K
,179,@starsmaroc,824.7K,0.46%,Morocco,Entertainment and Music,247.4K
Oubeid Hlal  ,180,"Oubeid Hlal 🇲🇦 🇲🇫
 @droubeidallah",823.8K,5.5%,Morocco,,247.1K
  -Ali Ezzaidi ,181,"👑 علي الزايدي-Ali Ezzaidi 👑
 @alii_ezzaidi1",815K,3.84%,Morocco,Education,244.5K
Ibrahim Moulay Bbi,182,"Ibrahim Moulay Bbi
 @brahimlogia",812.6K,6.28%,Morocco,Finance,243.8K
 ,183,"الحكومة 🇲🇦
 @alhokouma_eg",809.8K,1.2%,Morocco,,242.9K
Said Mosker,184,"Said Mosker
 @saidmosker1",801.9K,-,Morocco,Entertainment and Music,240.6K
  ,185,"𝑴𝑮𝑯𝑹𝑰𝑩𝑰𝒀𝑨 𝑾𝑨𝑭𝑻𝑨𝑲𝑯𝑰𝑹 🇲🇦
 @moroccan.beautiful",798.9K,-,Morocco,,239.7K
Fatima Ezzahra Lahrech,186,"Fatima Ezzahra Lahrech
 @fatimaezzahra_lahrech.officiel",797.2K,4.6%,Morocco,"Acting and Drama,  , Lifestyle",239.2K
