name,number,@name,followers,er,country,domain,potential_reach
Khaoula hsein |  ,850,"Khaoula hsein | خولة حسين
 @khaoula_hsein",211.8K,0.2%,Morocco,,63.5K
machahir ,851,"machahir مشاهير
 @et.machahir",211.5K,0.5%,Morocco,Pets,63.5K
Bent Lmdina |   ,852,"Bent Lmdina | بنت لمدينة 🇲🇦
 @bent_lmdina",211.3K,1%,Morocco,,63.4K
  ,853,"أخبارالنجوم والفنانين المغاربة
 @akhbar_maghariba",211.1K,0.07%,Morocco,Entertainment and Music,63.3K
TOP COMMENTAIRE MAROCAIN,854,"TOP COMMENTAIRE MAROCAIN
 @topcommentairemarocain",210.8K,1.5%,Morocco,Celebrity,63.2K
Makeupby_mimo,855,"Makeupby_mimo
 @makeupby_mimo",210.6K,0.09%,Morocco,Beauty and Self Care,63.2K
   ,856,"الإنستغرام الرسمي ليوسفر كامي
 @ysfkami",210.4K,0.4%,Morocco,"Acting and Drama,  , Celebrity,  , Video Gaming,  , Modeling",63.1K
  ,857,"🇲🇦 مغرٍبَية حـُـرّة
 @starnews_moroccan",210.3K,0.1%,Morocco,,63.1K
Zineb snihji,858,"Zineb snihji
 @zineb_snihji_",210.2K,6.5%,Morocco,"Beauty and Self Care,  , Fashion and Accessories",63.1K
anakat_sham,859,"anakat_sham
 @anakat_sham",210.1K,-,Morocco,,63K
AMIRA | ,860,"AMIRA | أميرة
 @emiraah",209.8K,4.3%,Morocco,"Beauty and Self Care,  , Parenting,  , Actors,  , Lifestyle",62.9K
maroc |  | morocco.,861,"maroc | المغرب | morocco.
 @moroccan_travels",209.4K,5.17%,Morocco,Travel,62.8K
Bon plan au maroc,862,"Bon plan au maroc
 @bonplanaumaroc1",208.8K,0.1%,Morocco,"Food,  , Travel",62.7K
  ,863,"الانستغرام المغربي 🇲🇦
 @themoroccan_insta",208.8K,0.3%,Morocco,,62.6K
R Y M ,864,"R Y M 🇲🇦
 @rymfikri",208.7K,12.8%,Morocco,,62.6K
Meryem Jamil _  ,865,"Meryem Jamil 👑_ 👑مريم جميل
 @meryemjamilmia",208.5K,0.66%,Morocco,Fashion and Accessories,62.5K
 poupia,866,"🇲🇦𝙍𝙖𝙬𝙖𝙖 𝘽𝙖𝙮𝙖𝙖🇲🇦poupia👑
 @rawaa_bayaa2",208.5K,7.82%,Morocco,Beauty and Self Care,62.5K
Iliana ,867,"Iliana 🧸
 @iliana_razzouk",208.4K,0.4%,Morocco,"Music,  , Singer,  , Modeling",62.5K
Haitam Bouasria,868,"Haitam Bouasria
 @bs_contentt",208.3K,1.6%,Morocco,,62.5K
Hafssa  ,869,"Hafssa ♡ حفصة
 @by_hafssa",208.2K,0.93%,Morocco,Fashion and Accessories,62.5K
rajae_barbie,870,"rajae_barbie
 @rajaa_officiel36",208.2K,0.1%,Morocco,,62.5K
Kawtar ,871,"Kawtar الكوثر
 @kawtar_elco",208.1K,0.98%,Morocco,,62.4K
Lamia Lamouri   ,872,"Lamia Lamouri 👑 لمياء العموري
 @lamia_lamouri",207.8K,1.4%,Morocco,,62.3K
saadibtissampage,873,"saadibtissampage🇲🇦
 @saadibtissampage",207.7K,0.5%,Morocco,,62.3K
  ,874,"⚜️ 𝙶𝚞𝚌𝚌𝚒 𝚐𝚒𝚛𝚕⚜️
 @dounya_fethiii",207.5K,0.29%,Morocco,"Travel,  , Sports,  , Basketball",62.2K
Souhaila_el_joujat,875,"Souhaila_el_joujat
 @souhaila_el_joujat",207.1K,0.8%,Morocco,,62.1K
sokaina nour,876,"sokaina nour
 @sokaina_nourofficial",207.1K,0.2%,Morocco,Fashion and Accessories,62.1K
 ,877,"👑🇲🇦الطبخ المغربي🇲🇦👑
 @food_moroccan0",207K,0.59%,Morocco,Food,62.1K
